# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 171K of event 'task-clock:ppp'
# Event count (approx.): 42928250000
#
# Overhead  Command         Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ..............  ....................  ......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa1be822
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa24ad88
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa256525
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa25ad05
     0.00%  tsp_ga2opt_omp  [kernel.kallsyms]     [k] 0xffffffffaa25ada0
     0.00%  tsp_ga2opt_omp  ld-linux-x86-64.so.2  [.] _dl_lookup_symbol_x
     0.00%  tsp_ga2opt_omp  libc.so.6             [.] __mprotect
     0.00%  tsp_ga2opt_omp  libc.so.6             [.] _int_free_merge_chunk
     0.00%  tsp_ga2opt_omp  libc.so.6             [.] _int_malloc
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x0000000000012890
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x0000000000024750
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x000000000002479e
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000247ad
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000247e0
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x0000000000024910
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x0000000000024967
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000249ad
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000256c0
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000256cb
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x0000000000025770
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x0000000000025867
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000258b3
     0.00%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000258c7
